127.0.0.1 - - [05/Jun/2019:19:17:35 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:17:36 +0900] "GET /HelloServlet/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:17:38 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:19:22 +0900] "GET /HelloServlet/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:19:23 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:25:39 +0900] "GET /HelloServlet/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:25:40 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:27:01 +0900] "GET /HelloServlet/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:27:03 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:34:36 +0900] "GET /HelloServlet/ HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [05/Jun/2019:19:34:37 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 141
